impact_category,powertrain,year,vehicle_stage,size,value,impact_value,unit
natural land transformation,BEV,2024,powertrain,Small,0,-0.44410735378974897,square meter
natural land transformation,BEV,2024,energy storage,Small,0,-1.3704737603054498,square meter
natural land transformation,BEV,2024,energy chain,Small,0,-5.40498401881937e-07,square meter
natural land transformation,BEV,2024,maintenance,Small,0,-4.2504375745705614e-07,square meter
natural land transformation,BEV,2024,EoL,Small,0,-0.05172605060468973,square meter
natural land transformation,BEV,2024,road,Small,0,-1.1172536475114003e-05,square meter
natural land transformation,BEV,2024,direct - non-exhaust,Small,0,0.0,square meter
natural land transformation,BEV,2024,direct - exhaust,Small,0,0.0,square meter
natural land transformation,ICEV-p,2024,glider,Small,0,-1.1258023391917826,square meter
natural land transformation,ICEV-p,2024,powertrain,Small,0,-0.35588565785109816,square meter
natural land transformation,ICEV-p,2024,energy storage,Small,0,-0.008632942572353615,square meter
natural land transformation,ICEV-p,2024,energy chain,Small,0,-5.606941584000624e-07,square meter
natural land transformation,ICEV-p,2024,maintenance,Small,0,-3.3525681001980736e-07,square meter
natural land transformation,ICEV-p,2024,EoL,Small,0,-0.009922263384892537,square meter
natural land transformation,ICEV-p,2024,road,Small,0,-9.101032334190143e-06,square meter
natural land transformation,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,square meter
natural land transformation,ICEV-p,2024,direct - exhaust,Small,0,0.0,square meter
ozone depletion,BEV,2024,glider,Small,0,0.0004411308106141684,kg CFC-11.
ozone depletion,BEV,2024,powertrain,Small,0,0.00012163439474013855,kg CFC-11.
ozone depletion,BEV,2024,energy storage,Small,0,0.0003938588759549641,kg CFC-11.
ozone depletion,BEV,2024,energy chain,Small,0,1.8998165714401514e-10,kg CFC-11.
ozone depletion,BEV,2024,maintenance,Small,0,1.3095680258689415e-09,kg CFC-11.
ozone depletion,BEV,2024,EoL,Small,0,6.311102868094328e-05,kg CFC-11.
ozone depletion,BEV,2024,road,Small,0,3.4591508249233347e-09,kg CFC-11.
ozone depletion,BEV,2024,direct - non-exhaust,Small,0,0.0,kg CFC-11.
ozone depletion,BEV,2024,direct - exhaust,Small,0,0.0,kg CFC-11.
ozone depletion,ICEV-p,2024,glider,Small,0,0.0003731224395858238,kg CFC-11.
ozone depletion,ICEV-p,2024,powertrain,Small,0,0.0001284198071425162,kg CFC-11.
ozone depletion,ICEV-p,2024,energy storage,Small,0,3.166772233787891e-06,kg CFC-11.
ozone depletion,ICEV-p,2024,energy chain,Small,0,2.939125116263748e-08,kg CFC-11.
ozone depletion,ICEV-p,2024,maintenance,Small,0,1.032932706701653e-09,kg CFC-11.
ozone depletion,ICEV-p,2024,EoL,Small,0,3.053993235130294e-06,kg CFC-11.
ozone depletion,ICEV-p,2024,road,Small,0,2.845290129436289e-09,kg CFC-11.
ozone depletion,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,kg CFC-11.
ozone depletion,ICEV-p,2024,direct - exhaust,Small,0,5.981107816112842e-07,kg CFC-11.
particulate matter formation,BEV,2024,glider,Small,0,23.511732527932764,kg PM10-Eq.
particulate matter formation,BEV,2024,powertrain,Small,0,7.166846108637436,kg PM10-Eq.
particulate matter formation,BEV,2024,energy storage,Small,0,19.516513753092426,kg PM10-Eq.
particulate matter formation,BEV,2024,energy chain,Small,0,1.2331798498078467e-05,kg PM10-Eq.
particulate matter formation,BEV,2024,maintenance,Small,0,1.2409626024583847e-05,kg PM10-Eq.
particulate matter formation,BEV,2024,EoL,Small,0,1.9937666902213236,kg PM10-Eq.
particulate matter formation,BEV,2024,road,Small,0,8.03096757825469e-05,kg PM10-Eq.
particulate matter formation,BEV,2024,direct - non-exhaust,Small,0,1.9510597126288067e-05,kg PM10-Eq.
particulate matter formation,BEV,2024,direct - exhaust,Small,0,0.0,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,glider,Small,0,20.10096547494279,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,powertrain,Small,0,5.638421448580667,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,energy storage,Small,0,0.16623095893007514,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,energy chain,Small,0,7.220630069635804e-05,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,maintenance,Small,0,9.7881960658159e-06,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,EoL,Small,0,0.844318551658865,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,road,Small,0,6.737302649507226e-05,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,direct - non-exhaust,Small,0,2.018460546107438e-05,kg PM10-Eq.
particulate matter formation,ICEV-p,2024,direct - exhaust,Small,0,1.4574699195679366e-05,kg PM10-Eq.
photochemical oxidant formation,BEV,2024,glider,Small,0,37.40032504200892,kg NMVOC-.
photochemical oxidant formation,BEV,2024,powertrain,Small,0,9.416907597672754,kg NMVOC-.
photochemical oxidant formation,BEV,2024,energy storage,Small,0,23.123181851265826,kg NMVOC-.
photochemical oxidant formation,BEV,2024,energy chain,Small,0,1.4371117638145685e-05,kg NMVOC-.
photochemical oxidant formation,BEV,2024,maintenance,Small,0,3.0713960187051073e-05,kg NMVOC-.
photochemical oxidant formation,BEV,2024,EoL,Small,0,1.636950095017888,kg NMVOC-.
photochemical oxidant formation,BEV,2024,road,Small,0,0.00015734689380546225,kg NMVOC-.
photochemical oxidant formation,BEV,2024,direct - non-exhaust,Small,0,2.769915825956057e-08,kg NMVOC-.
photochemical oxidant formation,BEV,2024,direct - exhaust,Small,0,0.0,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,glider,Small,0,31.932815353700775,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,powertrain,Small,0,8.709734247332015,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,energy storage,Small,0,0.33704397026863275,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,energy chain,Small,0,0.00015833821506975655,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,maintenance,Small,0,2.4225892357509716e-05,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,EoL,Small,0,0.557768757885817,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,road,Small,0,0.0001312834318989997,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,direct - non-exhaust,Small,0,3.3903379131592644e-08,kg NMVOC-.
photochemical oxidant formation,ICEV-p,2024,direct - exhaust,Small,0,0.0002047351480559941,kg NMVOC-.
terrestrial acidification,BEV,2024,glider,Small,0,40.93287214626511,kg SO2-Eq.
terrestrial acidification,BEV,2024,powertrain,Small,0,17.1093379828015,kg SO2-Eq.
terrestrial acidification,BEV,2024,energy storage,Small,0,52.46326971293024,kg SO2-Eq.
terrestrial acidification,BEV,2024,energy chain,Small,0,2.7045245362021647e-05,kg SO2-Eq.
terrestrial acidification,BEV,2024,maintenance,Small,0,3.0724490085806145e-05,kg SO2-Eq.
terrestrial acidification,BEV,2024,EoL,Small,0,2.501732128484516,kg SO2-Eq.
terrestrial acidification,BEV,2024,road,Small,0,9.868918423415287e-05,kg SO2-Eq.
terrestrial acidification,BEV,2024,direct - non-exhaust,Small,0,3.415432503079592e-07,kg SO2-Eq.
terrestrial acidification,BEV,2024,direct - exhaust,Small,0,0.0,kg SO2-Eq.
terrestrial acidification,ICEV-p,2024,glider,Small,0,33.88185828550171,kg SO2-Eq.
terrestrial acidification,ICEV-p,2024,powertrain,Small,0,13.417283572444678,kg SO2-Eq.
terrestrial acidification,ICEV-p,2024,energy storage,Small,0,0.45122241101400556,kg SO2-Eq.
terrestrial acidification,ICEV-p,2024,energy chain,Small,0,0.00025016287544349494,kg SO2-Eq.
terrestrial acidification,ICEV-p,2024,maintenance,Small,0,2.423419790300832e-05,kg SO2-Eq.
terrestrial acidification,ICEV-p,2024,EoL,Small,0,0.44027915610725143,kg SO2-Eq.
